estado,trimestre,total,motivo_de_uso,tipo_de_arma,year
michoacan,3er,2,protección_a_parcela,largas,2024
morelos,3er,0,protección_a_parcela,largas,2024
nayarit,3er,0,protección_a_parcela,largas,2024
nuevo leon,3er,0,protección_a_parcela,largas,2024
oaxaca,3er,1,protección_a_parcela,largas,2024
puebla,3er,0,protección_a_parcela,largas,2024
queretaro,3er,0,protección_a_parcela,largas,2024
q. roo,3er,0,protección_a_parcela,largas,2024
s.l.p.,3er,0,protección_a_parcela,largas,2024
sinaloa,3er,1,protección_a_parcela,largas,2024
sonora,3er,0,protección_a_parcela,largas,2024
tabasco,3er,0,protección_a_parcela,largas,2024
tamaulipas,3er,0,protección_a_parcela,largas,2024
tlaxcala,3er,0,protección_a_parcela,largas,2024
veracruz,3er,0,protección_a_parcela,largas,2024
yucatan,3er,3,protección_a_parcela,largas,2024
zacatecas,3er,0,protección_a_parcela,largas,2024
aguascalientes,3er,0,colección,cortas,2024
baja california,3er,0,colección,cortas,2024
baja california  sur,3er,2,colección,cortas,2024
campeche,3er,0,colección,cortas,2024
chiapas,3er,0,colección,cortas,2024
chihuahua,3er,0,colección,cortas,2024
cd. mex,3er,0,colección,cortas,2024
coahuila,3er,0,colección,cortas,2024
colima,3er,0,colección,cortas,2024
durango,3er,0,colección,cortas,2024
edo. mex.,3er,13,colección,cortas,2024
guanajuato,3er,0,colección,cortas,2024
guerrero,3er,3,colección,cortas,2024
hidalgo,3er,0,colección,cortas,2024
jalisco,3er,0,colección,cortas,2024
michoacan,3er,0,colección,cortas,2024
morelos,3er,0,colección,cortas,2024
nayarit,3er,0,colección,cortas,2024
nuevo leon,3er,0,colección,cortas,2024
oaxaca,3er,3,colección,cortas,2024
puebla,3er,0,colección,cortas,2024
queretaro,3er,0,colección,cortas,2024
q. roo,3er,0,colección,cortas,2024
s.l.p.,3er,0,colección,cortas,2024
sinaloa,3er,1,colección,cortas,2024
sonora,3er,1,colección,cortas,2024
tabasco,3er,0,colección,cortas,2024
tamaulipas,3er,0,colección,cortas,2024
tlaxcala,3er,0,colección,cortas,2024
veracruz,3er,1,colección,cortas,2024
yucatan,3er,0,colección,cortas,2024
zacatecas,3er,0,colección,cortas,2024
aguascalientes,3er,0,colección,largas,2024
baja california,3er,0,colección,largas,2024
baja california  sur,3er,0,colección,largas,2024
campeche,3er,0,colección,largas,2024
chiapas,3er,0,colección,largas,2024
chihuahua,3er,0,colección,largas,2024
cd. mex,3er,0,colección,largas,2024
coahuila,3er,0,colección,largas,2024
colima,3er,0,colección,largas,2024
durango,3er,0,colección,largas,2024
edo. mex.,3er,6,colección,largas,2024
guanajuato,3er,0,colección,largas,2024
guerrero,3er,0,colección,largas,2024
hidalgo,3er,0,colección,largas,2024
jalisco,3er,0,colección,largas,2024
michoacan,3er,0,colección,largas,2024
morelos,3er,0,colección,largas,2024
nayarit,3er,0,colección,largas,2024
nuevo leon,3er,0,colección,largas,2024
oaxaca,3er,0,colección,largas,2024
puebla,3er,0,colección,largas,2024
queretaro,3er,0,colección,largas,2024
q. roo,3er,0,colección,largas,2024
s.l.p.,3er,0,colección,largas,2024
sinaloa,3er,0,colección,largas,2024
sonora,3er,0,colección,largas,2024
tabasco,3er,0,colección,largas,2024
tamaulipas,3er,0,colección,largas,2024
tlaxcala,3er,0,colección,largas,2024
veracruz,3er,0,colección,largas,2024
yucatan,3er,0,colección,largas,2024
zacatecas,3er,0,colección,largas,2024
